5;171.00209975242615;177.01254391670227;170.83352518081665;
6;212.63442158699036;213.41959500312805;212.92986226081848;
7;234.4483287334442;234.9825189113617;234.84598970413208;
8;256.65997767448425;257.25140500068665;256.66189551353455;
9;309.92943382263184;308.93220233917236;308.87964940071106;
10;331.11245346069336;331.7382023334503;331.29722142219543;
11;463.72050523757935;463.51750898361206;463.22389364242554;
12;495.92324566841125;495.86355447769165;495.50469946861267;
13;558.0000584125519;558.1363167762756;557.7675383090973;
14;590.1098206043243;589.9411697387695;589.9783556461334;
